0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/assets/js/browser.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/assets/js/breakpoints.min.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/assets/js/main.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:08 +0900] "GET /projectC/Notice/assets/js/util.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/NoticeRead.jsp?noticeNum=10&page=1 HTTP/1.1" 200 5312
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/assets/js/main.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/assets/js/browser.min.js HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/assets/js/breakpoints.min.js HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/assets/js/util.js HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/assets/js/jquery.dropotron.min.js HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [20/Sep/2023:09:49:09 +0900] "GET /projectC/Notice/assets/js/jquery.min.js HTTP/1.1" 404 862
